job_id,company,field_name,field_type,pass,has_consensus,agreement_rate,outliers
4323400548,SimpliSafe,ext_salary_disclosed,boolean,1,True,1.0,none
4323400548,SimpliSafe,ext_equity_mentioned,boolean,1,True,0.8,gemma
4323400548,SimpliSafe,ext_learning_budget_mentioned,boolean,1,True,1.0,none
4323400548,SimpliSafe,ext_conference_budget_mentioned,boolean,1,True,1.0,none
4323400548,SimpliSafe,ext_hardware_choice_mentioned,boolean,1,True,1.0,none
4323400548,SimpliSafe,ext_llm_genai_mentioned,boolean,1,True,1.0,none
4323400548,SimpliSafe,ext_feature_store_mentioned,boolean,1,True,1.0,none
4323400548,SimpliSafe,ext_salary_period,enum,1,True,1.0,none
4323400548,SimpliSafe,ext_salary_currency,enum,1,True,1.0,none
4323400548,SimpliSafe,ext_visa_sponsorship_stated,enum,1,True,1.0,none
4323400548,SimpliSafe,ext_security_clearance_stated,enum,1,True,1.0,none
4323400548,SimpliSafe,ext_work_model_stated,enum,1,True,1.0,none
4323400548,SimpliSafe,ext_employment_type_stated,enum,1,True,0.8,gpt-oss
4323400548,SimpliSafe,ext_contract_type,enum,1,True,1.0,none
4323400548,SimpliSafe,ext_extension_possible,enum,1,True,1.0,none
4323400548,SimpliSafe,ext_conversion_to_fte,enum,1,True,1.0,none
4323400548,SimpliSafe,ext_start_date,enum,1,True,1.0,none
4323400548,SimpliSafe,ext_pay_type,enum,1,True,0.6,"gpt-oss, gemma"
4323400548,SimpliSafe,ext_rate_negotiable,enum,1,True,1.0,none
4323400548,SimpliSafe,ext_overtime_paid,enum,1,True,1.0,none
4323400548,SimpliSafe,ext_geo_restriction_type,enum,1,True,0.8,gemma
4323400548,SimpliSafe,ext_residency_requirement,enum,1,True,1.0,none
4323400548,SimpliSafe,ext_pto_policy,enum,1,True,1.0,none
4323400548,SimpliSafe,ext_salary_min,numeric,1,True,1.0,none
4323400548,SimpliSafe,ext_salary_max,numeric,1,True,1.0,none
4323400548,SimpliSafe,ext_hourly_rate_min,numeric,1,True,1.0,none
4323400548,SimpliSafe,ext_hourly_rate_max,numeric,1,True,1.0,none
4323400548,SimpliSafe,ext_daily_rate_min,numeric,1,True,1.0,none
4323400548,SimpliSafe,ext_daily_rate_max,numeric,1,True,1.0,none
4323400548,SimpliSafe,ext_years_experience_min,numeric,1,True,1.0,none
4323400548,SimpliSafe,ext_years_experience_max,numeric,1,True,1.0,none
